,nblobs,areas,area0,area1
6574,2,,1896.5,1747.0
6575,2,,1894.0,1728.0
6576,2,,1882.0,1750.5
6577,2,,1887.5,1671.0
6578,2,,1874.5,1646.5
6579,2,,1837.5,1652.0
6580,2,,1796.0,1626.0
6581,2,,1740.5,1647.0
6582,2,,1754.0,1584.5
6583,2,,1708.0,1582.5
6584,2,,1722.5,1566.0
6585,2,,1667.5,1568.5
6586,2,,1665.0,1534.5
6587,2,,1665.0,1505.5
6588,1,,1633.0,
6589,1,,1659.0,
6590,1,,1657.0,
6591,1,,1689.5,
6592,1,,1746.5,
6593,1,,1702.0,
6594,1,,1701.0,
6595,1,,1706.5,
6596,1,,1713.0,
6597,1,,1720.0,
6598,1,,1723.5,
6599,1,,1744.0,
6600,1,,1770.0,
6601,1,,1752.0,
6602,1,,1758.0,
6603,1,,1789.0,
6604,1,,1818.5,
6605,1,,1804.0,
6606,1,,1776.0,
6607,2,,1744.5,1529.5
6608,2,,1767.0,1544.5
6609,0,,,
6610,0,,,
6611,0,,,
6612,0,,,
6613,0,,,
6614,0,,,
6615,0,,,
6616,0,,,
6617,0,,,
6618,0,,,
6619,0,,,
6620,0,,,
6621,0,,,
6622,0,,,
6623,0,,,
6624,0,,,
6625,2,,1741.5,1509.5
6626,0,,,
6627,2,,1787.0,1515.5
6628,2,,1794.5,1525.0
6629,2,,1778.0,1532.5
6630,2,,1757.0,1520.5
6631,2,,1781.0,1521.5
6632,2,,1814.5,1504.0
6633,1,,1875.5,
6634,1,,1877.0,
6635,2,,1870.0,1510.5
6636,2,,1860.0,1513.0
6637,2,,1852.0,1507.0
6638,2,,1861.5,1519.5
6639,2,,1851.5,1508.0
6640,2,,1840.5,1507.5
6641,2,,1818.5,1528.5
6642,2,,1787.5,1529.5
6643,2,,1741.0,1526.5
6644,2,,1754.0,1513.0
6645,2,,1759.5,1528.5
6646,2,,1803.5,1512.0
6647,2,,1827.5,1530.0
6648,2,,1869.5,1526.0
6649,1,,1513.0,
6650,2,,1688.5,1524.5
6651,2,,1907.0,1535.0
6652,2,,1893.0,1564.0
6653,2,,1792.5,1561.0
6654,2,,1792.5,1570.0
6655,2,,1872.5,1582.0
6656,2,,1899.5,1595.5
6657,2,,1870.5,1583.0
6658,2,,1900.0,1569.0
6659,2,,1895.5,1557.5
6660,2,,1890.0,1559.5
6661,2,,1918.0,1564.5
6662,2,,1931.0,1580.0
6663,2,,1967.0,1606.0
6664,2,,1978.0,1583.5
6665,2,,1973.0,1572.0
6666,2,,1994.0,1594.0
6667,2,,1987.5,1589.5
6668,2,,1944.5,1615.0
6669,2,,1948.5,1610.5
